pyEGA3 - EGA python client version 3.0.39 (https://github.com/EGA-archive/ega-download-client)
Parts of this software are derived from pyEGA (https://github.com/blachlylab/pyega) by James Blachly

Server URL: https://ega.ebi.ac.uk:8051/elixir/data
Session-Id: 3303842013

File ID         Status Bytes        Check sum                            File name
EGAF00001723627      1 67238248109  06625b2431ba809e1b33b34a7fc510f9     EGAR00001587259/repeat_expansions/NA06075.bam.cip
EGAF00001723625      1 74227615753  c510c431d09846f7197d81d11e29446a     EGAR00001587257/repeat_expansions/NA16200.bam.cip
EGAF00001723645      1 78294305882  4eb8a2e3c2c8b458c97e57dbcdb57819     EGAR00001587277/repeat_expansions/NA06151.bam.cip
EGAF00001723650      1 79959371686  415b639a3ca8b34c24b9489b5d3b79c6     EGAR00001587282/repeat_expansions/NA23378.bam.cip
EGAF00001723693      1 79526629097  ddc06f9ef7417ed01c3499d998ff9109     EGAR00001587325/repeat_expansions/NA20238.bam.cip
EGAF00001723719      1 76583012347  57cb34f8bfd621c76bad681855a41cab     EGAR00001587351/repeat_expansions/NA05185.bam.cip
EGAF00001723710      1 72628224409  de49eab4bcce2ad2bb9e3cea19a4aabc     EGAR00001587342/repeat_expansions/NA06910.bam.cip
EGAF00001723657      1 78927540629  d25d6f24721030df20a1748d4e9515ff     EGAR00001587289/repeat_expansions/NA07730.bam.cip
EGAF00001723661      1 79543689706  d0102aceeaa9b55d6a973961b5dd1909     EGAR00001587293/repeat_expansions/NA09237.bam.cip
EGAF00001723731      1 72457910187  d4bbe6f7e6f7c6cba8ff0da676359078     EGAR00001587363/repeat_expansions/NA20231.bam.cip
EGAF00001723659      1 73498515220  b04a041f301c8a0cb39927d1fb051394     EGAR00001587291/repeat_expansions/NA16212.bam.cip
EGAF00001723723      1 80691973442  a523e5b9ad89bf34f6dcd334587d68f9     EGAR00001587355/repeat_expansions/NA16216.bam.cip
EGAF00001723736      1 76059152084  d37fc6241ff3cfd571316fe5be9c70f6     EGAR00001587368/repeat_expansions/NA06892.bam.cip
EGAF00001723689      1 72536115932  c08c8f7849acabe8aa81f1b1ffbb916e     EGAR00001587321/repeat_expansions/NA03132.bam.cip
EGAF00001723658      1 78640957507  116746cb3d36eb3b8312756577fc150a     EGAR00001587290/repeat_expansions/NA16213.bam.cip
EGAF00001723651      1 82170869291  49ce5ac9cbf2622533f16c105e3ffbcd     EGAR00001587283/repeat_expansions/NA04025.bam.cip
EGAF00001723618      1 75066433952  070acc458bd5a45e63c3fca995a48ff7     EGAR00001587250/repeat_expansions/NA16228.bam.cip
EGAF00001723709      1 73450689240  5611f693c8cdc500f9c5a475d2825115     EGAR00001587341/repeat_expansions/NA06968.bam.cip
EGAF00001723635      1 82074155425  5817af5f83326483c5622f0700ea4d4d     EGAR00001587267/repeat_expansions/NA07539.bam.cip
EGAF00001723623      1 76858331258  6d3a3f0da43e956f5a6ccb7360cc84fe     EGAR00001587255/repeat_expansions/NA07542.bam.cip
EGAF00001723655      1 80046340048  c1b2abedb586eb9aec4780891612a959     EGAR00001587287/repeat_expansions/NA06906.bam.cip
EGAF00001723632      1 85117742193  2c04bd2131b5dd2a5443e67314f376e1     EGAR00001587264/repeat_expansions/NA03696.bam.cip
EGAF00001723681      1 80423125512  563973fb40d6392bf2f9b41903d13e3a     EGAR00001587313/repeat_expansions/NA16215.bam.cip
EGAF00001723706      1 71155155809  bda2e074e95bd228b889ec35024088ac     EGAR00001587338/repeat_expansions/NA06903.bam.cip
EGAF00001723691      1 76438260469  165200fea06dca48b2d893641961c95e     EGAR00001587323/repeat_expansions/NA20243.bam.cip
EGAF00001723636      1 70729238615  e4c815c42e4d407f2fb7e5033f4451b4     EGAR00001587268/repeat_expansions/NA05131.bam.cip
EGAF00001723680      1 78990568792  0dd104c2f1f64c40aff8934770401a5c     EGAR00001587312/repeat_expansions/NA20240.bam.cip
EGAF00001723724      1 76030040282  3d2ff60fc0764f6531d136d8104a1a84     EGAR00001587356/repeat_expansions/NA16203.bam.cip
EGAF00001723725      1 72579358584  274e0dc17c0865574fa962c9ee6ca11a     EGAR00001587357/repeat_expansions/NA16240.bam.cip
EGAF00001723666      1 76374051128  3e72864d1f7055884d5c827cfefda950     EGAR00001587298/repeat_expansions/NA13536.bam.cip
EGAF00001723728      1 78927191223  d1b6fccbb9d3f259b76b2ca2b1b5f04d     EGAR00001587360/repeat_expansions/NA03756.bam.cip
EGAF00001723716      1 85122315813  44c26a075db3ce1d83e2c8ad53c8c107     EGAR00001587348/repeat_expansions/NA15850.bam.cip
EGAF00001723679      1 71503106444  a5f8e71e5e6005426ba2e4197e2b82db     EGAR00001587311/repeat_expansions/NA06893.bam.cip
EGAF00001723626      1 78930311671  373e8c7ee4e50fdf2493b70700d99e8d     EGAR00001587258/repeat_expansions/NA07537.bam.cip
EGAF00001723701      1 75692305507  553dd4c2a1ffe74a6076452ca2d1ccb7     EGAR00001587333/repeat_expansions/NA06896.bam.cip
EGAF00001723735      1 80691781378  16b0c714ed53a030089f7ee4706ec1f5     EGAR00001587367/repeat_expansions/NA04034.bam.cip
EGAF00001723631      1 79602005569  c08fc654f07bf447b5ebec1efbe34e9e     EGAR00001587263/repeat_expansions/NA07294.bam.cip
